Category,Item,Description,Price
Matcha Drinks,Matcha Latte,,R45
Matcha Drinks,Matcha Latte Ice,,R50
Matcha Drinks,Mango Matcha,,R70
Matcha Drinks,Strawberry,,R70
Freezos,Aero Peppermint,,R35
Freezos,Bar One,,R35
Freezos,Cherry,,R35
Freezos,Iced Coffee,,R35
Freezos,Mixed Berries,,R35
Freezos,Salted Caramel,,R35
Freezos,Watermelon,,R35
Freezos,Salted Caramel Coffee,,R40
